title,year,authors,venue,url,status,reason,relevance
Analyzing Regression Test Selection Techniques,1996,"Gregg Rothermel; Mary Jean Harrold",TSE,https://doi.org/10.1109/32.536955,included,formal safe RTS foundations,Section 2.1 [1]
Regression Test Selection for Java Software,2001,"Mary Jean Harrold; James A. Jones; Tongyu Li; Donglin Liang",OOPSLA,https://dl.acm.org/doi/10.1145/504311.504305,included,foundational Java-specific safe RTS,Section 2.1
Ekstazi: Practical Regression Test Selection with Dynamic File Dependencies,2015,"Milos Gligoric; Lamyaa Eloussi; Darko Marinov",ISSTA,https://doi.org/10.1145/2771783.2771784,included,direct dynamic RTS baseline,Section 2.1 [2]
Obtaining Coverage per Test Case,2017,Florian Dreier,Master's thesis - Technical University of Munich,https://teamscale.com/hubfs/Publications/2017-obtaining-coverage-per-test-case.pdf,included,"closest prior JaCoCo-based per-test method-coverage RTS; evaluated with PIT on 12 Java systems including Commons Lang; 99.2% fault detection",must be discussed and distinguished in Section 2.2
STARTS: STAtic Regression Test Selection,2017,"Owolabi Legunsen; August Shi; Darko Marinov",ASE (pp. 949-954),https://dl.acm.org/doi/10.5555/3155562.3155684,included,direct static RTS baseline,Section 2.1 [3]
Regression Test Selection Across JVM Boundaries,2017,"Celik; Vasic; Milicevic; Gligoric",ESEC/FSE,https://doi.org/10.1145/3106237.3106297,near-neighbor,cross-JVM dynamic RTS,verification corpus
Hybrid Regression Test Selection (HyRTS),2018,Lingming Zhang,ICSE,https://doi.org/10.1145/3180155.3180198,included,multi-granularity (file+method) dynamic RTS; own instrumentation; commit-history evaluation,Section 2.1
SPIRITuS: a SimPle Information Retrieval regressIon Test Selection approach,2018,"Simone Romano; Giuseppe Scanniello; Giuliano Antoniol; Alessandro Marchetto",Information and Software Technology,https://doi.org/10.1016/j.infsof.2018.03.004,included,"method code coverage + lexical similarity; evaluated fault-detection on 389 mutation-generated faulty versions of 14 Java programs",Section 2.2
Method-Level Test Selection for Continuous Integration with Static Dependencies and Dynamic Execution Rules,2019,"Li et al.",QRS,https://doi.org/10.1109/QRS.2019.00052,near-neighbor,static method-level dependencies + dynamic rules for reflection/inheritance; not JaCoCo per-test coverage,one-sentence reference
Predictive Test Selection,2019,"Mateusz Machalica; Alex Samylkin; Meredith Porth; Satish Chandra",ICSE-SEIP,https://doi.org/10.1109/ICSE-SEIP.2019.00018,near-neighbor,ML-based predictive selection at Facebook scale; no coverage dependency signal,reference for Develocity comparison
Reflection-Aware Static Regression Test Selection,2019,"Shi; Hadzi-Tanovic; Zhang; Marinov; Legunsen",PACMPL/OOPSLA,https://doi.org/10.1145/3360613,near-neighbor,static RTS addressing reflection blind spot,verification corpus
A Framework for Checking Regression Test Selection Tools (RTSCheck),2019,"Zhu; Legunsen; Shi; Gligoric",ICSE,https://doi.org/10.1109/ICSE.2019.00056,near-neighbor,validates RTS tool behavior,verification corpus
Change-Driven Testing,2020,"Sven Amann; Elmar Juergens","The Future of Software Quality Assurance (Springer)",https://doi.org/10.1007/978-3-030-29509-7_1,included,"published Teamscale test-wise-coverage TIA; reports 99.3% fault detection across 12 systems",Section 2.2 after Dreier
Build-System-Aware Multi-language Regression Test Selection in CI,2022,"Elsner; Wuersching; Schnappinger; Pretschner; Graber; Dammer; Reimer",ICSE-SEIP,https://doi.org/10.1109/ICSE-SEIP55303.2022.9793870,near-neighbor,build-system and non-code dependency RTS in industrial CI,verification corpus
An Empirical Comparison of Four Java-based Regression Test Selection Techniques,2022,"Min Kyung Shin; Sudipto Ghosh; Leo R. Vijayasarathy",Journal of Systems and Software,https://doi.org/10.1016/j.jss.2021.111174,included,"compares Ekstazi HyRTS OpenClover STARTS; uses PIT with 30354 mutants to evaluate fault-detection ability",Section 2.2
DIRTS: Dependency Injection Aware Regression Test Selection,2023,"Hundsdorfer; Elsner; Pretschner",ICST,https://doi.org/10.1109/ICST57152.2023.00046,included,DI-aware static RTS,Section 2.1 [4]
BinaryRTS: Cross-language Regression Test Selection for C++ Binaries in CI,2023,"Elsner et al.",ICST,https://doi.org/10.1109/ICST57152.2023.00038,included,cross-language dynamic RTS,Section 2.1 [5]
More Precise RTS via Reasoning about Semantics-Modifying Changes,2023,"Liu; Zhang; Nie; Gligoric; Legunsen",ISSTA,https://doi.org/10.1145/3597926.3598056,near-neighbor,semantic-change-aware static Java RTS,verification corpus
iJaCoCo: Efficient Incremental Code Coverage Analysis for Regression Test Suites,2024,"Wang; Wang; Nie",ASE,https://dl.acm.org/doi/10.1145/3691620.3695551,near-neighbor,uses Ekstazi+JaCoCo for incremental coverage maintenance; RTS is means not evaluated end,Section 2.3 [6]
Hybrid Regression Test Selection by Integrating File and Method Dependences (JcgEks),2024,"Guofeng Zhang; Luyao Liu; Zhenbang Chen; Ji Wang",ASE,https://doi.org/10.1145/3691620.3695525,included,"combines Ekstazi file deps with static method call graph; 1000 revisions of 20 projects; about 30% less end-to-end time and 30.9% fewer test classes than Ekstazi",Section 2.1
BabelRTS: Polyglot Regression Test Selection,2025,"Gabriele Maurina; Walter Cazzola; Sudipto Ghosh",IEEE Transactions on Software Engineering,https://ieeexplore.ieee.org/document/10944548,near-neighbor,static polyglot RTS with public replication package,verification corpus
Skippy,,skippy-io,GitHub (archived 2025-09-18),https://github.com/skippy-io/skippy,near-neighbor,OSS JaCoCo-based selection; no systematic fault-detection evaluation located,Section 2.2 [9]
junit4git,,rpau,GitHub,https://github.com/rpau/junit4git,near-neighbor,JUnit extension using own Java agent (not JaCoCo) to record test impacts; no published evaluation,tool ecosystem mention
Tia Java Selective Testing Library,,mtgleeson,GitHub,https://github.com/mtgleeson/tiatesting,near-neighbor,"OSS JaCoCo-based method mapping; JUnit/Spock; Maven/Gradle; Git/Perforce",tool ecosystem mention
Teamscale Test Impact Analysis,,CQSE,product docs,https://docs.teamscale.com,included,commercial TIA based on test-wise coverage; see Dreier 2017 and Amann 2020 for academic description,Section 2.2 [11]
Develocity Predictive Test Selection,,Gradle Inc.,product docs,https://docs.gradle.com/develocity,near-neighbor,predictive model; no coverage dependency signal,Section 2.2 [12]
Parasoft Jtest Test Impact Analysis,,Parasoft,product docs,https://www.parasoft.com/products/parasoft-jtest/java-test-impact-analysis/,near-neighbor,correlates test-execution and coverage data with code changes; internals proprietary,one-sentence reference
