date,source,query,results_reported,results_screened,candidates_retained,notes
2026-07-16,web_search,"per-test coverage regression test selection Java tool",6,6,3,"initial discovery pass; surfaced Parasoft Jtest TIA; JCov (unverified - excluded); Harrold et al. OOPSLA 2001"
2026-07-16,DBLP_API,"DIRTS Dependency Injection Regression Test Selection",1,1,1,"DOI confirmed: 10.1109/ICST57152.2023.00046"
2026-07-16,DBLP_API,"BinaryRTS Cross-language Regression Test Selection",1,1,1,"DOI confirmed: 10.1109/ICST57152.2023.00038"
2026-07-16,DBLP_API,"Build-System-Aware Multi-language Regression Test Selection",1,1,1,"DOI confirmed: 10.1109/ICSE-SEIP55303.2022.9793870"
2026-07-16,DBLP_API,"Liu Precise Regression Test Selection 2023",0,0,0,"DBLP API unavailable; DOI confirmed from ISSTA 2023 proceedings"
2026-07-16,DBLP_API,"JaCoCo regression test selection",0,0,0,"no DBLP-indexed results"
2026-07-16,DBLP_API,"per-test coverage test selection",0,0,0,"no results"
2026-07-17,web_search_and_snowballing,"JaCoCo per-test coverage regression test selection PIT mutation testing",50+,50+,2,"CRITICAL: Found Dreier 2017 (TUM master thesis) and Amann/Juergens 2020 (Springer chapter). Prior work already combines JaCoCo per-test method coverage with PIT mutation-based fault-detection evaluation. Original broad novelty claim must be narrowed."
2026-07-17,web_search,"JcgEks hybrid regression test selection file method",10,10,1,"Found Zhang et al. ASE 2024: combines Ekstazi file deps with static method call graph"
2026-07-17,web_search,"SPIRITuS method coverage regression test selection mutation",5,5,1,"Confirmed Romano et al. IST 2018: method coverage + IR; evaluated on 389 mutation-generated faulty versions"
2026-07-17,web_search,"Shin Ghosh regression test selection mutation PIT Java",5,5,1,"Confirmed Shin et al. JSS 2022: compares 4 Java RTS tools with PIT mutation scores"
2026-07-17,web_search,"junit4git test impact JaCoCo",5,5,1,"Found rpau/junit4git: JUnit extension for test impact; no published evaluation"
2026-07-17,web_search,"Tia Java selective testing library",3,3,1,"Found mtgleeson/tiatesting: OSS JaCoCo-based method mapping with JUnit/Spock"
2026-07-17,web_search,"MEST method-level test selection continuous integration",5,5,1,"Found Li et al. QRS 2019: static method deps + dynamic rules; DOI 10.1109/QRS.2019.00052"
2026-07-17,web_search,"Predictive Test Selection Machalica Facebook",3,3,1,"Confirmed Machalica et al. ICSE-SEIP 2019: ML-based; no coverage dependency signal"
2026-07-17,primary_source_verification,"Dreier 2017 thesis PDF",1,1,1,"Full text confirmed at teamscale.com/hubfs/Publications/2017-obtaining-coverage-per-test-case.pdf"
2026-07-17,primary_source_verification,"Amann Juergens Change-Driven Testing 2020",1,1,1,"DOI confirmed: 10.1007/978-3-030-29509-7_1"
2026-07-17,cross_index_verification,"ACM/IEEE/Scholar/DBLP/arXiv coverage via web search and snowballing",-,-,-,"Full native-UI database queries not individually executed. Coverage achieved through: cross-index web search returning results from all major databases; backward/forward snowballing from seed papers; venue proceedings checks; repository/tool ecosystem search. This is documented transparently rather than claiming native UI execution for each database."
